Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,dlrm-v2-99.9,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,6064.625000000
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,dlrm-v2-99.9,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,280045
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4775.270359848
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,13096.6
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4722.561172742
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,11700.8
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4775.270359848
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,13096.6
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,4722.561172742
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,11700.8
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99,Offline,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,6152.984435173
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,25262.1
4.1-0049,NVIDIA,available,NVIDIA H200 (8x H200-SXM-141GB MaxQ TensorRT),1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99,Server,Watts,,8,1,NVIDIA H200-SXM-141GB,available,56,Intel(R) Xeon(R) Platinum 8480C,6280.214000000
