Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,resnet50,edge,0.45537,0.45537
5.0-0029,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,66.3387,66.3387
5.0-0028,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,230.201833,230.201833
5.0-0026,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,494.925038,494.925038
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,bert-99.9,Offline,Samples/s,Closed ,bert-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,bert-99.9,edge,1672.31,1672.31
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,bert-99,Offline,Samples/s,Closed ,bert-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,bert-99,edge,1672.31,1672.31
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,3d-unet-99.9,Offline,Samples/s,Closed ,3d-unet-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,3d-unet-99.9,edge,8.30876,8.30876
5.0-0028,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,36.493667,36.493667
5.0-0025,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,18.3791,18.3791
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,3d-unet-99.9,SingleStream,Latency (ms),Closed ,3d-unet-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,3d-unet-99.9,edge,431.124707,431.124707
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,resnet,SingleStream,Latency (ms),Closed ,resnet50,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,resnet50,edge,0.414091,0.414091
