Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
2.1-0271,Krai,Available Cloud,Firefly-RK3588S (firefly),ARM Mali-G610 MP4,1,Inference,ResNet,Single Stream,System energy (J) per stream*,Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),ArmNN v22.05 (OpenCL),Edge,v2.1,1,open,Open,True,,ResNet,edge,0.029288931,0.029288931
2.1-0205,Krai,Available Cloud,Firefly-RK3588S (firefly),, ,Inference,ResNet,Multi Stream,latency (ms),Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),ArmNN v22.05 (Neon),Edge,v2.1,1,open,Open,True,,ResNet,edge,193.763128,193.763128
2.1-0291,Krai,Available Cloud,Firefly-RK3588S (firefly),ARM Mali-G610 MP4,1,Inference,ResNet,Multi Stream,latency (ms),Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),ArmNN v22.05 (OpenCL),Edge,v2.1,1,open,Open,True,,ResNet,edge,80.274536,80.274536
2.1-0143,Krai,Available Cloud,Firefly-RK3588S (firefly),, ,Inference,ResNet,Multi Stream,System energy (J) per stream*,Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),ArmNN v22.05 (Neon),Edge,v2.1,1,open,Open,True,,ResNet,edge,1.184542272,1.184542272
2.1-1095,Krai,Available Cloud,Khadas VIM4 (vim4),, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,Amlogic A311D2: Arm Cortex-A73 (big); Arm Cortex-A53 (LITTLE),ArmNN v22.05 (Neon),Edge,v2.1,1,open,Open,True,,ResNet,edge,6.65732,6.65732
2.1-0719,Krai,Available Cloud,NVIDIA Jetson AGX Orin,, ,Inference,ResNet,Single Stream,System energy (J) per stream*,Open - Power,ResNet,,Arm Cortex-A78AE v8.2,ArmNN v22.05 (Neon),Edge,v2.1,1,open,Open,True,,ResNet,edge,0.030475346,0.030475346
2.1-0388,Krai,Available Cloud,Firefly-RK3588S (firefly),, ,Inference,ResNet,Multi Stream,latency (ms),Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),TFLite v2.7.1 (ruy),Edge,v2.1,1,open,Open,True,,ResNet,edge,109.136352,109.136352
2.1-1165,Krai,Available Cloud,Khadas VIM4 (vim4),, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,Amlogic A311D2: Arm Cortex-A73 (big); Arm Cortex-A53 (LITTLE),ArmNN v22.05 (Neon),Edge,v2.1,1,open,Open,True,,ResNet,edge,5.42175,5.42175
2.1-0859,Krai,Available Cloud,NVIDIA Jetson AGX Orin,, ,Inference,ResNet,Single Stream,System energy (J) per stream*,Open - Power,ResNet,,Arm Cortex-A78AE v8.2,TFLite v2.7.1 (ruy),Edge,v2.1,1,open,Open,True,,ResNet,edge,0.059227443,0.059227443
2.1-0413,Krai,Available Cloud,Firefly-RK3588S (firefly),, ,Inference,ResNet,Multi Stream,System energy (J) per stream*,Open - Power,ResNet,,RockChip RK3588S: Arm Cortex-A76 (big); Arm Cortex-A55 (LITTLE),TFLite v2.7.1 (ruy),Edge,v2.1,1,open,Open,True,,ResNet,edge,1.158233902,1.158233902
